arc,ArchitektIn
aut,VerfasserIn
scl,BildhauerIn
chr,ChoreografIn
dsr,DesignerIn
aus,DrehbuchautorIn
inv,ErfinderIn
fmk,FilmemacherIn
pht,FotografIn4pht
cre,GeistigeR SchöpferIn4cre
ivr,InterviewerIn
ive,InterviewteR
cll,KalligrafIn
ctg,KartografIn
cmp,KomponistIn
art,KünstlerIn
lsa,LandschaftsarchitektIn
lbt,LibrettistIn
enj,Normerlassende Gebietskörperschaft
pra,Praeses
prg,ProgrammiererIn
rsp,RespondentIn
lyr,TextdichterIn
com,ZusammenstellendeR
dfd,AngeklagteR/BeklagteR
apl,BerufungsklägerIn/RevisionsklägerIn
ape,BerufungsbeklagteR/RevisionsbeklagteR
jug,Geregelte Gebietskörperschaft
jud,RichterIn
ptf,ZivilklägerIn